Country,year,gfn2gdp,efn2gdp,FCD2GDweo,grossdebt2gdpweo,externdebt2gdp,credit2privat,stdebt2extdebt,CA2gdp,debtserv2res,IntExp2rev,interExtdeb2gdp,debtserv2expor,crisis
Botswana,2009,8,8,37,0,14,23,0,-1,10,1,1,16,0
Botswana,2010,14,11,67,0,32,26,0,-6,7,1,1,14,0
Botswana,2011,8,8,67,0,30,29,0,-3,10,2,1,15,0
Botswana,2012,0,2,66,0,24,27,0,3,13,2,1,14,0
Botswana,2013,1,5,71,0,26,27,0,0,15,2,2,15,0
Botswana,2014,-4,-3,70,0,28,31,0,9,16,1,2,14,0
Botswana,2015,-2,-10,71,0,23,32,0,15,16,1,2,13,0
Botswana,2016,6,-4,69,0,28,31,0,8,12,2,2,12,0
Botswana,2017,3,-7,65,0,31,34,0,12,15,2,3,15,0
Brazil,1995,,,,,27,134,0,0,,,1,129,0
Brazil,1996,,,,,20,68,0,-2,98,,1,100,0
Brazil,1997,,,,,21,43,0,-3,91,,1,104,1
Brazil,2004,-6,9,20,1,43,30,0,1,140,30,3,83,0
Brazil,2005,-6,7,17,1,33,28,0,2,140,25,2,68,0
Brazil,2006,-6,5,13,1,22,29,0,2,140,27,2,56,0
Brazil,2007,-5,3,10,1,20,32,0,1,72,24,1,40,0
Brazil,2008,19,4,7,1,19,35,0,0,38,21,1,37,0
Brazil,2009,14,6,8,1,17,41,0,-2,49,20,1,41,0
Brazil,2010,16,6,6,1,20,46,0,-2,40,18,1,53,0
Brazil,2011,15,7,5,1,21,47,0,-3,31,18,1,38,0
Brazil,2012,16,6,4,1,20,53,0,-3,31,20,1,37,0
Brazil,2013,14,7,4,1,23,58,0,-3,29,18,1,38,0
Brazil,2014,14,7,5,1,25,63,0,-3,31,17,1,39,0
Brazil,2015,16,8,5,1,29,64,0,-4,33,19,1,46,0
Brazil,2016,19,12,6,1,37,66,0,-3,49,29,1,78,0
Brazil,2017,21,9,5,1,37,67,0,-1,46,29,1,76,0
Brunei Darussalam,1990,,,,0,,,,65,,0,,,0
Brunei Darussalam,1991,,,,0,,,,60,,0,,,0
Brunei Darussalam,1992,,,,0,,,,60,,0,,,0
Brunei Darussalam,1993,,,,0,,,,39,,0,,,0
Brunei Darussalam,1994,,,,0,,,,27,,0,,,0
Brunei Darussalam,1995,,,,0,,,,35,,0,,,0
Brunei Darussalam,1996,,,,0,,,,22,,0,,,0
Brunei Darussalam,1997,,,,0,,,,24,,0,,,0
Brunei Darussalam,1998,,,,0,,,,21,,0,,,0
Brunei Darussalam,1999,,,,0,,,,17,,0,,,0
Brunei Darussalam,2000,,,,0,,,,30,,0,,,0
Brunei Darussalam,2001,,,,0,,60,,45,,0,,,0
Brunei Darussalam,2002,,,,0,,50,,42,,0,,,0
Brunei Darussalam,2003,,,,0,,54,,36,,0,,,0
Brunei Darussalam,2004,,,,0,,54,,40,,0,,,0
Brunei Darussalam,2005,,,,0,,51,,38,,0,,,0
Brunei Darussalam,2006,,,,0,,46,,43,,0,,,0
Brunei Darussalam,2007,,,0,0,,40,,45,,0,,,0
Brunei Darussalam,2008,,,0,0,,35,,43,,0,,,0
Brunei Darussalam,2009,,,0,0,,38,,43,,0,,,0
Brunei Darussalam,2010,,,0,0,,35,,32,,0,,,0
Brunei Darussalam,2011,,,0,0,,45,,37,,0,,,0
Brunei Darussalam,2012,,,0,0,,37,,35,,0,,,0
Brunei Darussalam,2013,,,0,0,,28,,30,,0,,,0
Brunei Darussalam,2014,,,0,0,,28,,21,,0,,,0
Brunei Darussalam,2015,,,0,0,,31,,31,,0,,,0
Brunei Darussalam,2016,,,0,0,,33,,16,,0,,,0
Brunei Darussalam,2017,,,0,0,,41,,10,,0,,,0
Bulgaria,1990,,,,,21,,,-2,,,2,,1
Bulgaria,1995,,,,,151,,0,0,,,4,21,0
Bulgaria,1996,,,,,81,,0,-2,,,5,10,1
Bulgaria,2001,,15,,1,81,,0,-3,37,11,4,27,0
Bulgaria,2002,8,18,,1,76,,0,-4,42,10,4,33,0
Bulgaria,2003,6,7,,1,67,14,0,-1,23,6,2,17,0
Bulgaria,2004,4,8,,0,62,19,0,-3,23,6,2,13,0
Bulgaria,2005,4,15,,0,65,26,0,-4,38,5,2,23,0
Bulgaria,2006,7,33,,0,62,33,0,-10,76,4,2,44,0
Bulgaria,2007,0,33,,0,80,39,0,-15,57,3,2,32,0
Bulgaria,2008,0,44,,0,95,43,0,-24,61,3,3,41,0
Bulgaria,2009,0,39,,0,93,58,0,-22,57,2,2,34,0
Bulgaria,2010,2,27,,0,106,67,0,-8,63,2,3,48,0
Bulgaria,2011,5,20,,0,97,69,0,-2,59,2,2,39,0
Bulgaria,2012,3,15,,0,83,68,0,0,55,2,2,29,0
Bulgaria,2013,2,16,,0,92,66,0,-1,47,2,2,29,0
Bulgaria,2014,5,15,,0,91,66,0,1,50,2,2,27,0
Bulgaria,2015,8,12,,0,86,66,0,0,38,2,1,21,0
Bulgaria,2016,11,21,,0,72,60,0,0,53,2,1,36,0
Bulgaria,2017,,9,,0,67,55,0,2,29,2,1,22,0
Canada,1990,,,,1,,129,,-4,,21,,,0
Canada,1991,,,,1,,136,,-3,,22,,,0
Canada,1992,,,,1,,142,,-4,,21,,,0
Canada,1993,,,,1,,146,,-4,,21,,,0
Canada,1994,,,,1,,148,,-4,,21,,,0
Canada,1995,,,,1,,147,,-2,,21,,,0
Canada,1996,,,,1,,143,,-1,,22,,,0
Canada,1997,,,,1,,143,,0,,21,,,0
Canada,1998,,,,1,,147,,-1,,19,,,0
Canada,1999,,,,1,,151,,-1,,18,,,0
Canada,2000,,,,1,,152,,0,,17,,,0
Canada,2001,,,,1,,148,,3,,16,,,0
Canada,2002,-1,,,1,,151,,2,,15,,,0
Canada,2003,0,,,1,,156,,2,,14,,,0
Canada,2004,0,,,1,,153,,1,,13,,,0
Canada,2005,-1,,,1,,154,,2,,12,,,0
Canada,2006,11,,,1,,151,,2,,11,,,0
Canada,2007,11,,,1,,153,,1,,10,,,0
Canada,2008,10,,,1,,163,,1,,10,,,0
Canada,2009,11,,,1,,166,,0,,9,,,0
Canada,2010,20,,,1,,178,,-3,,9,,,0
Canada,2011,22,,,1,,180,,-4,,9,,,0
Canada,2012,19,,,1,,179,,-3,,9,,,0
Canada,2013,18,,,1,,183,,-4,,9,,,0
Canada,2014,18,33,,1,,189,,-3,,9,,,0
Canada,2015,17,,,1,,191,,-2,,8,,,0
Canada,2016,16,40,,1,,203,,-4,,8,,,0
Canada,2017,17,54,,1,,211,,-3,,7,,,0
Chile,1990,,,,,59,50,,-2,,,6,,1
Chile,1991,,,,,53,46,0,-1,37,13,6,25,0
Chile,1992,,,90,0,43,43,0,0,32,13,4,24,0
Chile,1993,,,90,0,39,41,0,-2,24,10,3,20,0
Chile,1994,,,90,0,39,44,0,-5,22,9,2,20,0
Chile,1995,,,89,0,38,48,0,-3,18,9,2,18,0
Chile,1996,,,88,0,35,47,0,-2,32,7,2,25,0
Chile,1997,,,88,0,34,48,0,-4,84,6,1,65,0
Chile,1998,,,88,0,34,53,0,-4,61,5,1,52,0
Chile,1999,,,88,0,40,56,0,-5,57,5,2,46,0
Chile,2000,,,90,0,46,58,0,0,67,6,2,48,0
Chile,2001,,12,91,0,48,61,0,-1,69,5,2,45,0
Chile,2002,,16,93,0,54,64,0,-2,85,5,2,55,0
Chile,2003,3,17,94,0,58,74,0,-1,84,5,2,57,0
Chile,2004,2,16,91,0,59,75,0,0,85,5,2,50,0
Chile,2005,0,13,84,0,45,77,0,3,106,4,1,43,0
Chile,2006,-1,10,72,0,38,77,0,2,93,3,1,32,0
Chile,2007,-5,7,68,0,32,77,0,5,103,3,1,30,0
Chile,2008,-6,6,52,0,32,78,0,4,118,2,1,26,0
Chile,2009,-2,17,40,0,36,84,0,-4,113,2,1,35,0
Chile,2010,6,16,23,0,43,100,0,2,127,2,1,50,0
Chile,2011,2,11,17,0,40,102,0,1,105,2,1,36,0
Chile,2012,0,14,17,0,40,99,0,-2,79,2,1,35,0
Chile,2013,1,21,16,0,46,101,0,-4,116,2,1,54,0
Chile,2014,2,21,13,0,49,104,0,-4,121,3,1,56,0
Chile,2015,,18,16,0,58,106,0,-2,114,3,1,54,0
Chile,2016,,19,18,0,65,108,0,-2,118,3,2,63,0
Chile,2017,,20,18,0,66,110,0,-1,122,3,2,71,0
China,1990,,,,,9,74,,,,1,0,,0
China,1991,,,,,13,77,0,,,1,0,,0
China,1992,,,,,15,86,0,,,2,1,,0
China,1993,,,,,14,88,0,,,4,1,,0
China,1994,,,,,13,86,0,,,2,1,,0
China,1995,,,,,16,97,0,,,3,1,,0
China,1996,,,6,0,14,86,0,,,5,1,,0
China,1997,,,5,0,13,84,0,,,5,1,,0
China,1998,,,5,0,14,89,0,4,,7,0,14,0
China,1999,,,5,0,14,97,0,3,,7,1,19,0
China,2000,,,4,0,14,105,0,2,,5,1,19,0
China,2001,,1,3,0,12,110,0,2,,5,1,14,0
China,2002,,1,3,0,15,111,0,1,,5,1,15,0
China,2003,,5,3,0,14,110,0,2,,4,1,36,0
China,2004,,4,2,0,13,117,0,3,,4,1,29,0
China,2005,,3,2,0,13,126,0,4,22,3,1,22,0
China,2006,,1,2,0,13,119,0,6,21,3,1,23,0
China,2007,,-2,1,0,13,112,0,8,19,3,1,21,0
China,2008,,-4,1,0,12,109,0,10,16,2,1,20,0
China,2009,,-3,1,0,10,106,0,9,16,2,1,21,0
China,2010,,1,0,0,10,102,0,5,14,2,1,27,0
China,2011,1,2,0,0,12,124,0,4,14,2,1,25,0
China,2012,-1,6,0,0,14,126,0,2,19,2,1,31,0
China,2013,0,7,0,0,14,123,0,3,26,2,1,41,0
China,2014,18,8,0,0,16,128,0,2,26,2,1,43,0
China,2015,19,10,0,0,17,134,0,2,35,2,1,56,0
China,2016,19,10,0,0,12,140,0,3,45,2,1,64,0
China,2017,25,7,0,0,13,153,0,2,35,3,1,49,0
Colombia,1990,,,,,32,23,,0,,16,3,,0
Colombia,1991,,,,,32,27,0,1,,16,3,72,0
Colombia,1992,,,,,30,31,0,4,,17,3,65,0
Colombia,1993,,,,,25,28,0,1,,15,2,65,0
Colombia,1994,,,,,24,30,0,-3,,12,2,63,0
Colombia,1995,,,,,23,34,0,-4,,9,2,81,0
Colombia,1996,,,,,24,31,0,-4,111,9,2,74,0
Colombia,1997,,,67,0,27,34,0,-4,114,10,2,84,0
Colombia,1998,,,67,0,27,35,0,-4,120,9,2,82,1
Colombia,2000,,,69,0,35,35,0,1,147,14,2,82,0
Colombia,2001,,8,78,0,36,32,0,1,124,16,2,71,0
Colombia,2002,,9,67,0,40,21,0,-1,101,17,3,69,0
Colombia,2003,11,12,61,0,38,24,0,-1,116,15,2,88,0
Colombia,2004,11,12,62,0,40,25,0,-1,115,16,2,80,0
Colombia,2005,8,8,55,0,34,25,0,-1,83,16,2,57,0
Colombia,2006,9,10,47,0,26,27,0,-1,106,13,2,64,0
Colombia,2007,11,10,41,0,25,29,0,-2,103,14,2,55,0
Colombia,2008,9,8,40,0,21,33,0,-3,62,15,1,38,0
Colombia,2009,7,7,37,0,19,38,0,-3,56,13,1,31,0
Colombia,2010,8,7,39,0,23,38,0,-2,57,13,1,37,0
Colombia,2011,7,7,35,0,23,40,0,-3,47,11,1,29,0
Colombia,2012,6,7,33,0,23,44,0,-3,54,10,1,27,0
Colombia,2013,3,9,33,0,22,45,0,-3,69,9,1,38,0
Colombia,2014,4,8,34,0,26,49,0,-3,47,9,1,30,0
Colombia,2015,4,11,40,0,30,50,0,-5,54,9,1,40,0
Colombia,2016,6,15,48,1,42,53,0,-6,61,12,2,62,0
Colombia,2017,5,12,46,1,50,47,0,-4,58,14,2,65,0
Costa Rica,1990,,,,,79,14,,-7,,18,3,,1
Costa Rica,1992,,,,,46,12,0,-3,,28,2,16,0
Costa Rica,1993,,,,,38,11,0,-5,44,23,2,16,1
Costa Rica,1995,,,,,30,14,0,-5,48,27,1,12,0
Costa Rica,1996,,,,,28,14,0,-3,42,36,2,11,0
Costa Rica,1997,,,,0,25,11,0,-2,37,38,1,9,0
Costa Rica,1998,,,,0,22,14,0,-4,35,33,1,10,0
Costa Rica,1999,,,,0,21,15,0,-4,58,29,1,11,0
Costa Rica,2000,,,,0,33,19,0,-5,40,32,1,9,0
Costa Rica,2001,,19,,0,33,23,0,-5,224,32,2,37,0
Costa Rica,2002,,16,,0,31,26,0,-3,212,33,2,36,0
Costa Rica,2003,6,17,,0,30,29,0,-5,174,37,1,33,0
Costa Rica,2004,4,19,,0,32,31,0,-5,163,34,1,37,0
Costa Rica,2005,4,18,,0,31,32,0,-4,170,35,1,36,0
Costa Rica,2006,15,16,,0,34,32,0,-4,130,35,1,31,0
Costa Rica,2007,15,16,,0,32,36,0,-4,96,29,1,30,0
Costa Rica,2008,9,16,,0,31,38,0,-6,79,22,2,30,0
Costa Rica,2009,6,22,,0,30,44,0,-8,121,17,1,38,0
Costa Rica,2010,14,16,,0,27,49,0,-2,113,17,1,43,0
Costa Rica,2011,16,10,,0,25,48,0,-3,73,17,1,27,0
Costa Rica,2012,14,13,,0,26,45,0,-5,80,17,1,27,0
Costa Rica,2013,14,14,,0,33,46,0,-5,67,17,1,30,0
Costa Rica,2014,11,14,,0,39,48,0,-5,72,20,1,33,0
Costa Rica,2015,10,14,,0,43,51,0,-5,71,21,2,31,0
Costa Rica,2016,11,10,,0,43,54,0,-4,77,20,2,35,0
Costa Rica,2017,11,10,,0,46,56,0,-3,75,20,2,30,0
Croatia,1990,,,,,,,,,,,,,0
Croatia,1991,,,,,,,,,,,,,0
Croatia,1992,,,,,,,,,,,,,1
Croatia,2000,,,,0,44,,0,-6,89,4,3,33,0
Croatia,2001,,13,,0,52,,0,-2,83,4,3,38,0
Croatia,2002,,15,,0,52,,0,-3,73,5,3,40,0
Croatia,2003,10,16,,0,59,36,0,-7,52,4,2,31,0
Croatia,2004,15,16,,0,72,43,0,-6,52,4,2,31,0
Croatia,2005,18,12,,0,75,45,0,-4,51,5,2,27,0
Croatia,2006,15,14,,0,68,48,0,-5,58,5,2,29,0
Croatia,2007,12,23,,0,78,52,0,-7,83,4,2,48,0
Croatia,2008,10,24,,0,82,58,0,-7,88,4,3,51,0
Croatia,2009,10,22,,0,82,62,0,-9,91,5,3,44,0
Croatia,2010,15,28,,0,105,64,0,-5,111,6,4,76,0
Croatia,2011,19,23,,1,104,67,0,-1,104,6,3,66,0
Croatia,2012,19,20,,1,96,68,0,-1,99,7,3,57,0
Croatia,2013,18,21,,1,106,70,0,0,95,8,4,59,0
Croatia,2014,18,22,,1,109,71,0,1,87,8,3,62,0
Croatia,2015,21,20,,1,98,70,0,2,93,8,3,55,0
Croatia,2016,19,21,,1,100,69,0,5,94,8,3,59,0
Croatia,2017,,20,,1,86,65,0,3,84,7,1,48,0
Cyprus,1990,,,,,,,,-5,,,,,0
Cyprus,1991,,,,,,,,-3,,,,,0
Cyprus,1992,,,,,,,,-7,,,,,0
Cyprus,1993,,,,,,,,-9,,,,,0
Cyprus,1994,,,,,,,,2,,,,,0
Cyprus,1995,,,,,,,,1,,,,,0
Cyprus,1996,,,,0,,,,-2,,6,,,0
Cyprus,1997,,,,0,,,,-5,,7,,,0
Cyprus,1998,,,,1,,,,-4,,8,,,0
Cyprus,1999,,,,1,,,,3,,9,,,0
Cyprus,2000,,,,1,,,,-2,,9,,,0
Cyprus,2001,,,,1,145,,,-5,,10,,,0
Cyprus,2002,23,,,1,152,,,-3,,9,,,0
Cyprus,2003,20,,,1,172,142,,-3,,9,,,0
Cyprus,2004,20,,,1,172,147,,-2,,9,,,0
Cyprus,2005,16,,,1,196,147,,-5,,9,,,0
Cyprus,2006,13,,,1,219,146,,-5,,9,,,0
Cyprus,2007,11,,,1,269,154,,-6,,8,,,0
Cyprus,2008,5,,,1,314,160,,-11,,7,,,0
Cyprus,2009,4,,,0,592,180,,-15,,7,,,0
Cyprus,2010,13,,,1,687,212,,-8,,6,,,0
Cyprus,2011,17,,,1,665,226,,-11,,5,,,0
Cyprus,2012,12,,,1,632,236,,-4,,6,,,1
Cyprus,2016,18,,,1,573,250,,-1,,7,,,0
Cyprus,2017,9,233,,1,592,246,,-5,,7,,,0
Czech Republic,1990,,,,,,,,,,,,,0
Czech Republic,1991,,,,,,,,,,,,,0
Czech Republic,1992,,,,,,,,,,,,,0
Czech Republic,1993,,,,,,,,,,,,,0
Czech Republic,1994,,,,,,,,,,,,,0
Czech Republic,1995,,,,,,90,,,,,,,0
Czech Republic,1996,,,28,0,30,84,,-2,,2,,,0
Czech Republic,1997,,,25,0,33,82,,-6,,3,,,0
Czech Republic,1998,,,25,0,36,90,,-6,,3,,,0
Czech Republic,1999,,,15,0,35,83,,-2,,3,,,0
Czech Republic,2000,,,12,0,37,78,,-2,,2,,,0
Czech Republic,2001,,,9,0,35,73,,-4,,2,,,0
Czech Republic,2002,,,3,0,34,70,,-5,,2,,,0
Czech Republic,2003,7,,3,0,30,65,,-5,,3,,,0
Czech Republic,2004,6,,6,0,31,63,,-6,,2,,,0
Czech Republic,2005,4,,10,0,37,60,,-4,,3,,,0
Czech Republic,2006,3,,12,0,39,60,,-2,,3,,,0
Czech Republic,2007,4,,11,0,39,63,,-2,,3,,,0
Czech Republic,2008,2,,10,0,43,66,,-5,,3,,,0
Czech Republic,2009,6,,13,0,43,73,,-2,,3,,,0
Czech Republic,2010,10,,15,0,50,78,,-2,,3,,,0
Czech Republic,2011,8,,17,0,55,82,,-4,,3,,,0
Czech Republic,2012,8,,18,0,55,83,,-2,,3,,,0
Czech Republic,2013,11,,20,0,60,87,,-2,,4,,,0
Czech Republic,2014,9,,22,0,63,95,,-1,,3,,,0
Czech Republic,2015,9,,18,0,70,94,,0,,3,,,0
Czech Republic,2016,6,,17,0,70,91,,0,,3,,,0
Czech Republic,2017,,,17,0,74,88,,1,,2,,,0
Denmark,1990,,,,,,149,,-1,,12,,,0
Denmark,1991,,,,,,148,,1,,13,,,0
Denmark,1992,,,,,,147,,1,,13,,,0
Denmark,1993,,,,1,,144,,3,,11,,,0
Denmark,1994,,,,1,,141,,3,,12,,,0
Denmark,1995,,,,1,,138,,2,,11,,,0
Denmark,1996,,,,1,,134,,1,,11,,,0
Denmark,1997,,,,1,,137,,2,,10,,,0
Denmark,1998,,,,1,,139,,1,,9,,,0
Denmark,1999,,,,1,,142,,0,,8,,,0
Denmark,2000,,,,1,,147,,3,,7,,,0
Denmark,2001,,,,1,,154,,2,,7,,,0
Denmark,2002,,,,0,,160,,4,,6,,,0
Denmark,2003,-4,,,0,,164,,3,,6,,,0
Denmark,2004,-3,,,0,,171,,4,,5,,,0
Denmark,2005,-5,,,0,,180,,4,,5,,,0
Denmark,2006,3,,,0,,195,,4,,4,,,0
Denmark,2007,1,,,0,,211,,3,,3,,,0
Denmark,2008,0,,,0,,225,,1,,3,,,0
Denmark,2009,0,,,0,,234,,3,,3,,,0
Denmark,2010,8,,,0,,247,,3,,4,,,0
Denmark,2011,10,,,0,,249,,7,,4,,,0
Denmark,2012,8,,,0,,245,,7,,4,,,0
Denmark,2013,10,,,0,,250,,6,,3,,,0
Denmark,2014,6,-7,,0,,244,,8,,3,,,0
Denmark,2015,4,,,0,,238,,9,,3,,,0
Denmark,2016,8,338,,0,,230,,9,,3,,,0
Denmark,2017,7,,,0,,226,,7,,3,,,0
Dominican Republic,1990,,,,,,28,,-4,,28,3,,1
Dominican Republic,1995,,,,,,19,,-2,,7,1,15,0
Dominican Republic,1996,,,,,,19,,-1,,8,2,13,0
Dominican Republic,1997,,,,,,19,,-1,,7,1,11,0
Dominican Republic,1998,,,58,0,,21,,-1,,5,1,9,0
Dominican Republic,1999,,,54,0,,22,,-2,,5,1,9,0
Dominican Republic,2000,,,80,0,,23,,-2,,5,1,8,0
Dominican Republic,2001,,5,71,0,,27,,-4,,5,1,9,0
Dominican Republic,2002,6,4,82,0,,29,,-3,,5,1,12,0
Dominican Republic,2003,5,5,82,0,29,33,0,-3,112,6,1,13,1
Dominican Republic,2011,13,12,79,0,33,22,0,-7,106,14,1,33,0
Dominican Republic,2012,8,13,79,0,34,23,0,-8,115,16,1,33,0
Dominican Republic,2013,11,11,73,0,38,23,0,-7,128,17,1,30,0
Dominican Republic,2014,7,8,72,0,41,23,0,-4,102,16,1,30,0
Dominican Republic,2015,9,8,76,0,42,24,0,-3,116,17,1,33,0
Dominican Republic,2016,5,10,73,0,39,26,0,-2,144,15,1,45,0
Dominican Republic,2017,6,7,71,0,40,27,0,-1,91,20,2,30,0
Ecuador,1990,,,,,88,10,,-6,,,4,,1
Ecuador,2001,,3,,,75,22,,6,,25,8,53,0
Ecuador,2002,,22,,1,60,26,,-2,,20,4,103,0
Ecuador,2003,3,25,,1,58,24,,-4,10538,13,4,113,1
Ecuador,2005,3,20,,0,47,17,,-1,738,10,3,90,0
Ecuador,2006,4,19,,0,42,19,,1,468,9,3,83,0
Ecuador,2007,2,16,,0,37,21,,4,526,8,3,75,0
Ecuador,2008,0,19,,0,34,21,,4,374,6,3,82,1
Ecuador,2010,6,13,,0,23,23,,1,243,2,1,58,0
Ecuador,2011,3,13,,0,21,22,,-2,296,2,1,40,0
Ecuador,2012,2,10,,0,20,25,,-1,275,2,1,33,0
Ecuador,2013,3,8,,0,19,25,,0,309,2,1,29,0
Ecuador,2014,7,8,,0,19,26,,-1,172,3,1,27,0
Ecuador,2015,10,9,,0,25,27,,-1,242,3,1,33,1
Ecuador,2016,11,11,,0,29,27,,-2,409,4,1,48,0
Ecuador,2017,,8,,0,37,27,,1,283,5,2,57,0
Egypt,1990,,,,,37,28,,-2,,18,,,1
Egypt,1992,,,,,73,25,0,3,,24,8,126,0
Egypt,1993,,,,,80,22,0,8,,23,3,69,0
Egypt,1994,,,,,61,22,0,4,,28,3,56,0
Egypt,1995,,,,,57,24,0,0,,31,3,29,0
Egypt,1996,,,,,52,28,0,1,,27,2,24,0
Egypt,1997,,,,,44,33,0,0,,26,2,25,0
Egypt,1998,,,,,36,37,0,0,,24,1,22,0
Egypt,1999,,,,1,31,40,0,-3,,22,1,23,0
Egypt,2000,,,,1,30,47,0,-2,18,16,1,24,0
Egypt,2001,,4,,1,27,52,0,-1,24,17,1,23,0
Egypt,2002,,3,,1,26,52,0,0,24,19,1,20,0
Egypt,2003,,3,,1,32,55,0,1,27,21,1,24,0
Egypt,2004,,2,,1,35,55,0,2,26,22,1,22,0
Egypt,2005,,0,,1,36,54,0,4,26,22,1,17,0
Egypt,2006,,1,,1,31,54,0,3,22,23,1,15,0
Egypt,2007,,5,,1,26,51,0,2,23,20,1,15,0
Egypt,2008,16,3,,1,22,49,0,2,14,19,0,11,0
Egypt,2009,17,4,,1,20,46,0,1,12,16,0,8,0
Egypt,2010,18,6,,1,16,43,0,-2,18,15,0,12,0
Egypt,2011,24,4,,1,15,36,0,-2,13,21,0,10,1
Egypt,2012,25,5,,1,14,33,0,-2,21,25,0,12,0
Egypt,2013,28,5,,1,12,31,0,-4,35,27,0,12,0
Egypt,2014,33,4,,1,15,27,0,-2,39,34,0,12,0
Egypt,2015,46,4,,1,15,26,0,-1,61,31,0,23,0
Egypt,2016,52,5,,1,14,26,0,-4,34,33,0,15,1
El Salvador,1990,,,,,67,29,,-6,,0,3,,1
El Salvador,1992,,,,0,47,17,0,-3,81,18,2,41,0
El Salvador,1993,,,,0,48,18,0,-2,72,15,2,41,0
El Salvador,1994,,,,0,40,20,0,-1,54,14,2,32,0
El Salvador,1995,,,,0,38,22,0,0,54,10,1,34,0
El Salvador,1996,,,,0,35,31,0,-3,44,9,1,26,0
El Salvador,1997,,,,0,37,35,0,-2,52,10,1,34,0
El Salvador,1998,,,,0,41,37,0,-1,58,10,1,40,0
El Salvador,1999,,,,0,37,40,0,-1,32,9,1,26,0
El Salvador,2000,,,,0,40,42,0,-2,30,9,1,24,0
El Salvador,2001,,5,,0,41,44,0,-3,21,9,1,14,0
El Salvador,2002,13,4,,0,44,45,0,-1,32,9,1,20,0
El Salvador,2003,15,6,,0,46,41,0,-3,44,10,1,28,0
El Salvador,2004,0,6,,0,57,40,0,-5,24,12,2,17,0
El Salvador,2005,0,19,,0,56,42,0,-4,148,13,3,99,0
El Salvador,2006,0,18,,0,56,42,0,-4,157,14,3,86,0
El Salvador,2007,0,18,,0,56,43,0,-4,163,15,3,83,0
El Salvador,2008,5,16,,0,50,43,0,-6,120,15,3,61,0
El Salvador,2009,6,17,,0,52,44,0,-7,98,14,2,52,1
El Salvador,2010,10,13,,0,55,43,0,-2,97,16,2,68,0
El Salvador,2011,8,11,,0,53,42,0,-2,74,14,2,43,0
El Salvador,2012,9,15,,0,51,41,0,-5,110,13,2,47,0
El Salvador,2013,8,14,,1,56,40,0,-5,80,12,2,42,0
El Salvador,2014,9,16,,1,58,40,0,-7,107,13,3,46,0
El Salvador,2015,9,15,,1,59,43,0,-5,124,13,3,51,0
El Salvador,2016,6,14,,1,58,44,0,-4,122,13,3,51,0
El Salvador,2017,,12,,1,61,45,0,-2,108,14,3,52,0
Equatorial Guinea,1990,,,100,2,192,25,,-20,,17,5,,0
Equatorial Guinea,1991,,,100,2,159,28,0,-14,,12,3,20,1
Equatorial Guinea,1995,,,100,2,218,5,0,0,6108,33,7,37,0
Equatorial Guinea,1996,,,100,1,138,4,0,-73,5903,32,5,27,1
Equatorial Guinea,1997,,,100,1,92,5,0,-125,2932,22,3,8,0
Equatorial Guinea,1998,,,100,0,47,5,0,-27,371,8,1,4,0
Equatorial Guinea,1999,,,100,1,60,5,0,-90,2335,6,2,5,0
Equatorial Guinea,2000,,,100,1,61,6,0,-29,664,6,1,3,0
Equatorial Guinea,2001,,31,100,0,37,6,0,-30,44,2,1,1,0
Equatorial Guinea,2002,,49,100,0,25,4,0,-49,18,2,0,1,0
Equatorial Guinea,2003,-17,53,100,0,22,3,0,-54,7,1,0,0,0
Equatorial Guinea,2004,-12,5,100,0,8,4,0,-5,4,0,0,0,0
Equatorial Guinea,2005,-10,-7,100,0,5,4,0,8,1,0,0,0,0
Equatorial Guinea,2006,-18,-16,100,0,3,3,0,17,2,0,0,1,0
Equatorial Guinea,2007,-20,-18,100,0,1,2,0,19,3,0,0,1,0
Equatorial Guinea,2008,-17,-16,100,0,1,2,0,17,1,0,0,0,0
Equatorial Guinea,2009,-15,-8,100,0,0,3,0,8,0,0,0,0,0
Equatorial Guinea,2010,6,10,100,0,4,4,0,-10,0,0,0,0,0
Equatorial Guinea,2011,4,20,100,0,8,6,0,-20,0,1,0,0,0
Equatorial Guinea,2012,-1,6,100,0,7,7,0,-6,1,1,0,0,0
Equatorial Guinea,2013,7,2,100,0,7,7,0,-1,3,1,0,1,0
Equatorial Guinea,2014,7,4,96,0,6,5,0,-2,9,1,0,3,0
Equatorial Guinea,2015,6,6,48,0,6,8,0,-4,12,2,0,3,0
Equatorial Guinea,2016,4,19,27,0,10,9,0,-18,17,1,0,3,0
Equatorial Guinea,2017,,12,22,0,10,15,0,-12,389,2,0,5,0
Estonia,1990,,,,,,,,,,,,,0
Estonia,1991,,,,,,,,,,,,,0
Estonia,1992,,,,,,,,,,,,,0
Estonia,1993,,,,,,,,,,,,,0
Estonia,1994,,,,,5,,0,1,,,0,3,0
Estonia,1995,,,,,5,,0,-7,,,1,2,0
Estonia,1996,,,,0,4,,0,-4,,1,3,7,0
Estonia,1997,,,,0,33,,0,-8,,1,1,10,0
Estonia,1998,,,,0,52,,0,-11,,1,1,34,0
Estonia,1999,,,,0,50,,0,-9,,1,2,46,0
Estonia,2000,,,,0,53,,0,-4,,1,1,46,0
Estonia,2001,,26,,0,53,,0,-5,140,1,2,37,0
Estonia,2002,0,29,,0,52,,0,-7,189,1,2,40,0
Estonia,2003,1,34,,0,64,,0,-11,186,1,2,44,0
